,0
0,0.004018439
1,0.0040123314
2,0.0018750718
3,0.0047300425
4,0.031052846
5,0.087583445
6,0.03998162
7,0.009099215
8,0.03598767
9,0.004684531
10,0.012554331
11,0.010264429
12,0.012623614
13,0.009084367
14,0.008776145
15,0.0044884817
16,0.0015345016
17,0.02893628
18,0.0034297646
19,0.0032376668
20,0.004592722
21,0.0031741047
22,0.0049692327
23,0.004514818
24,0.016309423
25,0.0064985417
26,0.0027023368
27,0.005226269
28,0.0042512934
29,0.010487915
30,0.014338253
31,0.006960541
32,0.011964808
33,0.007086605
34,0.004746491
35,0.025276804
36,0.006073113
37,0.00238957
38,0.0012038945
39,0.004686073
40,0.0056138462
41,0.0064367973
42,0.015643453
43,0.004370165
44,0.0013525982
45,0.0015704726
46,0.002382476
47,0.0040865364
48,0.008389615
49,0.00043829007
50,0.007630725
51,0.007898271
52,0.02760157
53,0.017757958
54,0.017133573
55,0.0014705416
56,0.006920849
57,0.002602963
58,0.0026507096
59,0.002893225
60,0.0020952758
61,0.011768282
62,0.016130153
63,0.019409088
64,0.003501442
65,0.0038299263
66,0.004138879
67,0.010282454
68,0.009543165
69,0.0023625102
70,0.0058398563
71,0.0031406155
72,0.017297119
73,0.0035168077
74,0.008081518
75,0.003110154
76,0.002274022
77,0.0019961623
78,0.0038082937
79,0.0014204385
80,0.0028383895
81,0.0022891802
82,0.0049381685
83,0.016232893
84,0.016577413
85,0.0027617156
86,0.013836881
87,0.009356656
88,0.0033557743
89,0.0039312583
90,0.031494465
91,0.0032066125
92,0.0010527091
93,0.0126465
94,0.0028262332
95,0.0016911291
96,0.00084971066
97,0.0049560424
98,0.015532394
99,0.0034029116
100,0.009747474
101,0.005158172
102,0.0025575417
103,0.0009428759
104,0.0020358877
105,0.013519593
106,0.0057814964
107,0.006004775
108,0.0036950184
109,0.0021010928
110,0.0018009016
111,0.0049632387
112,0.006197036
113,0.002138751
114,0.0071445797
115,0.0035326183
116,0.0035434305
117,0.010088842
118,0.0035322476
119,0.0040763323
120,0.002534816
121,0.0013280625
